demand_id,volume,origin,destination,reservation_time,availability_time,due_time,category,fare_per_teu
K0001,1.0,B,A,0,1,2,P,27.92
K0002,5.0,B,C,1,1,4,P,31.8
K0003,6.0,C,A,0,0,3,P,24.03
K0004,3.0,A,B,0,0,2,F,39.36
K0005,8.0,C,A,0,0,2,P,29.69
K0006,5.0,A,C,0,0,3,P,21.95
K0007,3.0,B,C,0,1,4,R,46.97
K0008,8.0,B,C,1,2,4,F,21.46
K0009,3.0,A,C,0,1,4,R,42.05
K0010,2.0,B,C,0,1,2,F,33.92
K0011,2.0,A,C,0,0,3,R,33.71
K0012,4.0,C,B,0,0,2,P,42.19
K0013,5.0,B,C,1,2,5,R,37.27
K0014,4.0,A,C,1,2,5,F,39.35
K0015,1.0,B,A,1,1,3,F,33.63
K0016,2.0,A,B,0,0,3,P,22.7
K0017,6.0,B,C,0,1,2,R,58.74
K0018,7.0,B,C,1,2,5,F,55.46
K0019,5.0,B,A,0,1,3,F,32.36
K0020,1.0,B,C,1,2,5,R,35.51
