service_family,capacity_teu,demand_set_id,seed,policy_key,reproduction_class,configuration_fingerprint,demand_fingerprint,completed,total_revenue,transported_volume,accepted_volume,solver_status,ordinary_rejection_count,feasibility_rejection_count,feasibility_rejected_demand_ids,solver_failure_count,solve_time_seconds,mip_gap,variable_count,constraint_count,solver_node_count,revenue_per_accepted_teu
service_family_1,10,demand_set_01,11001,dca,controlled_substitute_input,223c6f99541d4d0a68986e6bfd0775d37cf373511188ee3618d4828057f8c6eb,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,19512.5,85.0,85.0,all_events_processed,13,6,"('K0045', 'K0097', 'K0106', 'K0110', 'K0119', 'K0131')",0,2.058691380021628,,,,,229.55882352941177
service_family_1,10,demand_set_01,11001,dca_rm,controlled_substitute_input,223c6f99541d4d0a68986e6bfd0775d37cf373511188ee3618d4828057f8c6eb,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,20525.0,92.0,92.0,all_events_processed,7,6,"('K0045', 'K0097', 'K0106', 'K0110', 'K0119', 'K0131')",0,9.79220692400122,,,,,223.09782608695653
service_family_1,10,demand_set_01,11001,dca_r,controlled_substitute_input,223c6f99541d4d0a68986e6bfd0775d37cf373511188ee3618d4828057f8c6eb,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,20525.000000000004,88.0,88.0,all_events_processed,12,5,"('K0097', 'K0106', 'K0110', 'K0119', 'K0131')",0,7.435977578978054,,,,,233.2386363636364
service_family_1,10,demand_set_01,11001,dca_rrm,controlled_substitute_input,223c6f99541d4d0a68986e6bfd0775d37cf373511188ee3618d4828057f8c6eb,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,20525.0,88.0,88.0,all_events_processed,12,5,"('K0097', 'K0106', 'K0110', 'K0119', 'K0131')",0,14.908243615995161,,,,,233.23863636363637
service_family_1,10,demand_set_02,11002,dca,controlled_substitute_input,4246a869f181977a2bc558f820f993389f2a77a59949da89a72be06ab0e92217,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,22275.0,105.0,105.0,all_events_processed,15,5,"('K0058', 'K0074', 'K0076', 'K0133', 'K0138')",0,2.3787533459835686,,,,,212.14285714285714
service_family_1,10,demand_set_02,11002,dca_rm,controlled_substitute_input,4246a869f181977a2bc558f820f993389f2a77a59949da89a72be06ab0e92217,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,22743.75,107.0,107.0,all_events_processed,14,6,"('K0058', 'K0074', 'K0076', 'K0129', 'K0133', 'K0138')",0,12.54154812602792,,,,,212.55841121495328
service_family_1,10,demand_set_02,11002,dca_r,controlled_substitute_input,4246a869f181977a2bc558f820f993389f2a77a59949da89a72be06ab0e92217,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,22568.750000000055,106.0,106.0,all_events_processed,14,5,"('K0074', 'K0076', 'K0129', 'K0133', 'K0138')",0,9.377518041990697,,,,,212.91273584905713
service_family_1,10,demand_set_02,11002,dca_rrm,controlled_substitute_input,4246a869f181977a2bc558f820f993389f2a77a59949da89a72be06ab0e92217,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,23112.5,108.0,108.0,all_events_processed,14,5,"('K0074', 'K0076', 'K0129', 'K0133', 'K0138')",0,19.813688952999655,,,,,214.00462962962962
service_family_1,10,demand_set_03,11003,dca,controlled_substitute_input,44e5011053d7c97603473f3571850b6018957b38837b1e6c36260a4233f58ec3,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,19443.75,85.0,85.0,all_events_processed,10,3,"('K0102', 'K0129', 'K0130')",0,1.9746291229967028,,,,,228.75
service_family_1,10,demand_set_03,11003,dca_rm,controlled_substitute_input,44e5011053d7c97603473f3571850b6018957b38837b1e6c36260a4233f58ec3,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,19912.5,89.0,89.0,all_events_processed,6,3,"('K0117', 'K0126', 'K0130')",0,10.422225944988895,,,,,223.73595505617976
service_family_1,10,demand_set_03,11003,dca_r,controlled_substitute_input,44e5011053d7c97603473f3571850b6018957b38837b1e6c36260a4233f58ec3,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,20043.75000000001,90.0,90.0,all_events_processed,6,3,"('K0117', 'K0126', 'K0130')",0,8.127165818004869,,,,,222.70833333333346
service_family_1,10,demand_set_03,11003,dca_rrm,controlled_substitute_input,44e5011053d7c97603473f3571850b6018957b38837b1e6c36260a4233f58ec3,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,20100.0,89.0,89.0,all_events_processed,6,2,"('K0126', 'K0130')",0,17.13657429802697,,,,,225.8426966292135
service_family_1,10,demand_set_04,11004,dca,controlled_substitute_input,52a99d9f329608c7a0cd9ad5f94d1a0b0a767d5b9e0f2254aff4aadef32361c9,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,22762.5,95.0,95.0,all_events_processed,16,8,"('K0078', 'K0083', 'K0087', 'K0098', 'K0100', 'K0126', 'K0137', 'K0139')",0,2.5394233629922383,,,,,239.60526315789474
service_family_1,10,demand_set_04,11004,dca_rm,controlled_substitute_input,52a99d9f329608c7a0cd9ad5f94d1a0b0a767d5b9e0f2254aff4aadef32361c9,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,24187.5,101.0,101.0,all_events_processed,13,6,"('K0080', 'K0083', 'K0087', 'K0098', 'K0100', 'K0139')",0,11.582897924992722,,,,,239.48019801980197
service_family_1,10,demand_set_04,11004,dca_r,controlled_substitute_input,52a99d9f329608c7a0cd9ad5f94d1a0b0a767d5b9e0f2254aff4aadef32361c9,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,23887.5,100.0,100.0,all_events_processed,13,7,"('K0080', 'K0083', 'K0087', 'K0098', 'K0100', 'K0137', 'K0139')",0,10.899303731974214,,,,,238.875
service_family_1,10,demand_set_04,11004,dca_rrm,controlled_substitute_input,52a99d9f329608c7a0cd9ad5f94d1a0b0a767d5b9e0f2254aff4aadef32361c9,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,24037.5,100.0,100.0,all_events_processed,13,6,"('K0080', 'K0083', 'K0087', 'K0098', 'K0126', 'K0139')",0,20.5450679929927,,,,,240.375
service_family_1,10,demand_set_05,11005,dca,controlled_substitute_input,5bffb017f4f4dc7756cb01fb675dd857863a37e413d35f308107113c6d50fabc,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,21093.75,100.0,100.0,all_events_processed,5,5,"('K0059', 'K0083', 'K0099', 'K0111', 'K0113')",0,2.094867567997426,,,,,210.9375
service_family_1,10,demand_set_05,11005,dca_rm,controlled_substitute_input,5bffb017f4f4dc7756cb01fb675dd857863a37e413d35f308107113c6d50fabc,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,21768.75,102.0,102.0,all_events_processed,6,4,"('K0093', 'K0099', 'K0111', 'K0113')",0,11.464512451959308,,,,,213.4191176470588
service_family_1,10,demand_set_05,11005,dca_r,controlled_substitute_input,5bffb017f4f4dc7756cb01fb675dd857863a37e413d35f308107113c6d50fabc,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,21218.75,101.0,101.0,all_events_processed,6,4,"('K0083', 'K0099', 'K0111', 'K0113')",0,8.708058218995575,,,,,210.08663366336634
