demand_id,sequence_number,reservation_time,origin,destination,distance,anticipation_lag,availability_time,delivery_slack,due_time,category
K0001,1,0,A,E,4,5,5,13,18,R
K0002,2,0,E,B,3,5,5,10,15,P
K0003,3,0,A,E,4,6,6,11,17,F
K0004,4,0,A,B,1,2,2,8,10,F
K0005,5,0,D,B,2,4,4,11,15,P
K0006,6,0,B,D,2,2,2,11,13,F
K0007,7,0,B,E,3,4,4,12,16,P
K0008,8,0,B,E,3,4,4,12,16,P
K0009,9,0,C,E,2,3,3,10,13,F
K0010,10,0,E,A,4,4,4,11,15,R
K0011,11,1,A,D,3,5,6,11,17,P
K0012,12,1,B,D,2,3,4,11,15,R
K0013,13,1,A,C,2,2,3,11,14,F
K0014,14,1,A,E,4,6,7,12,19,P
K0015,15,1,B,A,1,1,2,10,12,P
K0016,16,1,A,C,2,4,5,9,14,P
K0017,17,1,B,C,1,2,3,8,11,P
K0018,18,1,C,D,1,3,4,8,12,R
K0019,19,1,D,C,1,2,3,9,12,F
K0020,20,1,E,C,2,2,3,11,14,R
K0021,21,2,D,A,3,4,6,11,17,P
K0022,22,2,C,D,1,1,3,8,11,P
K0023,23,2,B,E,3,3,5,12,17,P
K0024,24,2,D,B,2,2,4,11,15,P
K0025,25,2,E,B,3,5,7,11,18,R
K0026,26,2,B,E,3,5,7,11,18,P
K0027,27,2,A,B,1,3,5,10,15,R
K0028,28,2,A,C,2,2,4,10,14,P
K0029,29,2,D,C,1,1,3,9,12,F
K0030,30,2,E,B,3,4,6,10,16,F
K0031,31,3,C,D,1,3,6,8,14,F
K0032,32,3,B,C,1,2,5,9,14,P
K0033,33,3,B,A,1,2,5,8,13,R
K0034,34,3,A,D,3,4,7,12,19,P
K0035,35,3,D,E,1,3,6,8,14,P
K0036,36,3,B,C,1,3,6,10,16,R
K0037,37,3,E,D,1,3,6,10,16,P
K0038,38,3,C,D,1,2,5,9,14,F
K0039,39,3,E,A,4,4,7,13,20,R
K0040,40,3,C,D,1,2,5,10,15,R
K0041,41,4,D,E,1,3,7,10,17,R
K0042,42,4,A,B,1,2,6,10,16,F
K0043,43,4,E,C,2,4,8,11,19,P
K0044,44,4,E,C,2,2,6,10,16,P
K0045,45,4,C,E,2,4,8,10,18,R
K0046,46,4,D,E,1,3,7,10,17,F
K0047,47,4,B,C,1,3,7,10,17,F
K0048,48,4,C,A,2,4,8,9,17,P
K0049,49,4,B,D,2,2,6,9,15,P
K0050,50,4,C,E,2,4,8,11,19,R
K0051,51,5,B,E,3,5,10,12,22,F
K0052,52,5,C,D,1,3,8,8,16,R
K0053,53,5,C,D,1,3,8,9,17,F
K0054,54,5,B,A,1,1,6,9,15,P
K0055,55,5,E,D,1,3,8,10,18,P
K0056,56,5,A,E,4,5,10,13,23,R
