demand_id,volume,origin,destination,reservation_time,availability_time,due_time,category,fare_per_teu
K0002,1.0,A,C,0,4,15,F,200.0
K0004,1.0,D,C,0,2,11,P,100.0
K0005,2.0,E,D,0,2,10,F,125.0
K0006,1.0,E,C,0,4,15,P,200.0
K0011,1.0,E,A,1,5,17,P,500.0
K0015,1.0,E,D,1,4,12,R,125.0
K0016,2.0,D,B,1,3,14,R,250.0
K0017,2.0,C,A,1,5,15,F,200.0
K0018,1.0,A,B,1,3,11,P,125.0
K0021,1.0,D,C,2,4,12,R,125.0
K0022,1.0,B,A,2,5,15,P,100.0
K0023,1.0,E,A,2,8,21,F,400.0
K0025,1.0,E,C,2,5,15,F,200.0
K0027,1.0,A,B,2,5,14,F,100.0
K0028,1.0,A,E,2,7,18,P,500.0
K0030,1.0,E,B,2,6,17,P,300.0
K0034,2.0,A,E,3,7,19,P,500.0
K0035,2.0,B,C,3,5,15,P,100.0
K0036,1.0,A,B,3,6,16,P,100.0
K0037,1.0,A,C,3,6,16,F,200.0
K0039,1.0,E,C,3,5,16,P,250.0
K0041,2.0,C,B,4,6,16,R,100.0
K0042,2.0,B,D,4,6,17,R,250.0
K0043,1.0,C,D,4,7,17,F,100.0
K0046,2.0,C,D,4,7,17,R,100.0
K0048,1.0,E,B,4,8,19,P,300.0
K0049,2.0,B,A,4,5,13,F,156.25
K0051,2.0,A,C,5,7,17,R,250.0
K0052,2.0,E,B,5,10,20,P,375.0
K0053,1.0,D,C,5,8,18,P,100.0
K0054,2.0,A,B,5,7,16,R,100.0
K0055,1.0,C,B,5,7,17,F,100.0
K0056,1.0,B,A,5,7,16,P,100.0
K0057,2.0,D,C,5,8,16,R,125.0
K0058,1.0,C,E,5,7,18,R,250.0
K0059,2.0,B,A,5,6,16,R,125.0
K0060,2.0,D,E,5,6,15,P,125.0
K0062,1.0,E,D,6,8,17,F,100.0
K0064,2.0,D,E,6,7,17,F,125.0
K0069,1.0,D,B,6,10,20,R,200.0
K0070,2.0,A,D,6,10,20,R,375.0
K0072,1.0,B,A,7,8,17,R,125.0
K0073,2.0,E,B,7,11,23,P,300.0
K0074,1.0,E,B,7,12,23,F,300.0
K0075,1.0,D,E,7,8,17,P,125.0
K0076,2.0,C,D,7,9,18,F,100.0
K0077,2.0,B,D,7,10,21,P,200.0
K0078,1.0,C,B,7,8,18,R,125.0
K0080,2.0,A,D,7,11,22,R,300.0
K0083,2.0,B,D,8,10,19,R,312.5
K0086,1.0,D,A,8,11,21,P,468.75
K0088,1.0,D,A,8,12,24,P,300.0
K0090,2.0,A,E,8,13,26,P,400.0
K0092,1.0,A,D,9,13,23,F,375.0
K0093,1.0,C,E,9,13,22,R,250.0
K0094,1.0,B,A,9,11,19,P,125.0
K0096,1.0,C,B,9,11,20,F,100.0
K0097,2.0,B,A,9,10,18,P,156.25
K0099,1.0,D,B,9,13,23,R,200.0
K0100,1.0,C,E,9,13,23,F,200.0
K0102,1.0,D,E,10,11,21,R,125.0
K0104,1.0,E,D,10,11,20,P,125.0
K0110,1.0,D,A,10,14,25,R,300.0
K0111,2.0,D,B,11,14,23,R,250.0
K0113,1.0,C,B,11,14,23,R,100.0
K0114,1.0,E,D,11,14,23,P,100.0
K0115,1.0,D,E,11,13,21,R,125.0
K0116,1.0,E,A,11,15,26,R,625.0
K0117,2.0,C,A,11,14,23,P,250.0
K0122,1.0,B,C,12,14,23,F,100.0
K0124,1.0,D,E,12,14,24,R,100.0
K0125,2.0,E,C,12,15,26,P,200.0
K0126,1.0,E,A,12,16,27,P,625.0
K0128,1.0,B,C,12,14,23,R,100.0
K0129,1.0,D,E,12,13,21,R,156.25
K0131,1.0,D,E,13,14,23,F,125.0
K0132,2.0,A,B,13,14,22,R,156.25
K0133,2.0,C,D,13,15,23,F,125.0
K0134,2.0,A,E,13,19,32,P,400.0
K0136,1.0,B,C,13,14,23,F,125.0
K0137,1.0,B,E,13,17,29,P,300.0
K0138,1.0,A,E,13,19,30,R,500.0
K0139,1.0,C,A,13,15,25,P,250.0
K0140,2.0,A,B,13,16,24,P,125.0
