service_family,capacity_teu,policy_key,paper_tr_ir_vs_dca_pct,controlled_gross_ir_vs_dca_pct,controlled_net_ir_vs_dca_pct,paper_afr_change_vs_dca_pp,controlled_afr_change_vs_dca_pp,paper_vob_change_vs_dca_pp,controlled_vob_change_vs_dca_pp,paper_voa_change_vs_dca_pp,controlled_voa_change_vs_dca_pp,paper_vtr_pct,controlled_vtr_pct,paper_st_multiplier_vs_dca,controlled_st_multiplier_vs_dca
service_family_1,10,dca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0
service_family_1,10,pr,4.189944134078212,0.19978205593897566,0.19978205593897566,-2.0,-0.535714285714306,2.0,0.557620817843862,2.0,0.625,2,0.0,2.2222222222222223,71.72257816821534
service_family_1,10,fr,142.31843575418995,100.49612723341684,14.196834960940208,0.0,-2.4973990831057336,27.0,34.57064901231319,11.0,36.25,37,40.888251009717564,43.77777777777778,341.3215117584702
service_family_1,20,dca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0
service_family_1,20,pr,6.227106227106227,-1.6170323082407076,-1.6170323082407076,-1.0,-1.2053571428571246,2.0,-0.9293680297397771,3.0,-0.5,3,0.0,3.5555555555555554,148.53105493223768
service_family_1,20,fr,68.54395604395604,24.3915875433423,6.6722836125603555,1.0,-0.5803571428571246,21.0,17.286245353159842,13.0,16.25,35,19.702602230483272,76.66666666666667,428.7155462111523
service_family_1,30,dca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0
service_family_1,30,pr,2.492997198879552,-1.560002062812645,-1.560002062812645,0.0,-0.5059523809523796,1.0,-1.2081784386617045,1.0,-1.0,1,0.0,4.421052631578948,190.57180983080903
service_family_1,30,fr,45.406162464986,4.138517869114538,2.1272755401990615,7.0,-0.5059523809523796,13.0,3.9033457249070693,11.0,3.625,25,3.159851301115242,103.94736842105263,450.27611299313355
service_family_1,40,dca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0
service_family_1,40,pr,4.456824512534819,-1.7924691571686404,-1.7924691571686404,772.0,-0.0892857142857082,2.0,-1.3940520446096656,2.0,-1.25,1,0.0,4.684210526315789,203.55162400192904
service_family_1,40,fr,30.962074137561604,0.0,0.0,9.0,1.7410714285714235,9.0,0.0,9.0,0.0,13,0.0,134.47368421052633,444.2077521777335
service_family_2,10,dca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0
service_family_2,10,pr,25.2190847127556,-1.1735894663189363,-1.1735894663189363,-1.0,1.7410714285714448,5.0,-0.371747211895908,3.0,-0.125,9,0.0,3.9,140.198450446388
service_family_2,10,fr,105.01460564751704,23.48868551618854,6.445598244386489,1.0,-8.357979910714263,28.0,19.333759293680288,19.0,18.5,46,19.24082249070632,112.0,574.2481776856555
service_family_2,20,dca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0
service_family_2,20,pr,9.09813269765594,-0.04944742502534181,-0.04944742502534181,0.0,10.223214285714292,2.0,-0.09293680297398055,3.0,-0.125,6,0.0,5.818181818181818,183.39529490068531
service_family_2,20,fr,53.277711561382596,0.0,0.0,5.0,3.4598214285714235,13.0,0.0,14.0,0.0,29,0.0,182.13636363636363,478.4279477054217
service_family_2,30,dca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0
service_family_2,30,pr,4.515115822536317,0.0,0.0,2.0,7.61904761904762,1.0,0.0,2.0,0.0,2,0.0,6.956521739130435,177.95291712670993
service_family_2,30,fr,24.35545085721764,0.0,0.0,8.0,9.270833333333329,6.0,0.0,10.0,0.0,17,0.0,219.8695652173913,472.7512922354063
service_family_2,40,dca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0
service_family_2,40,pr,0.7640981489453293,0.0,0.0,4.0,3.4598214285714306,1.0,0.0,1.0,0.0,1,0.0,7.954545454545454,178.81692176126364
service_family_2,40,fr,8.857081360309945,0.0,0.0,7.0,6.183035714285708,2.0,0.0,5.0,0.0,6,0.0,187.36363636363637,484.1585873410445
