service_family,capacity_teu,policy_key,paper_afr_pct,paper_vtr_pct,paper_vfb_pct,paper_vob_pct,paper_voa_pct,paper_tr,paper_st_seconds,paper_afr_note,controlled_afr_arc_pct,controlled_vtr_pct,controlled_vfb_pct,controlled_vob_pct,controlled_voa_count_pct,controlled_gross_revenue,controlled_net_revenue,controlled_st_seconds,afr_delta_pp,vtr_delta_pp,vfb_delta_pp,vob_delta_pp,voa_count_delta_pp,gross_revenue_minus_paper_tr,net_revenue_minus_paper_tr,runtime_minus_paper_st_seconds
service_family_1,10,dca,100,,35,35,42,716,18,,83.39285714285715,0.0,41.54275092936803,41.54275092936803,43.875,103237.5,103237.5,27.522477397986222,-16.607142857142847,,6.542750929368033,6.542750929368033,1.875,102521.5,102521.5,9.522477397986222
service_family_1,10,pr,98,2,35,37,44,746,40,,82.85714285714285,0.0,42.100371747211895,42.100371747211895,44.5,103443.75,103443.75,1973.9830365600064,-15.142857142857153,-2.0,7.100371747211895,5.100371747211895,0.5,102697.75,102697.75,1933.9830365600064
service_family_1,10,fr,100,37,25,62,53,1735,788,,80.89545805975142,40.888251009717564,35.225148931963666,76.11339994168122,80.125,206987.1893525987,117893.95749280065,9394.013592818985,-19.10454194024858,3.888251009717564,10.225148931963666,14.113399941681223,27.125,205252.1893525987,116158.95749280065,8606.013592818985
service_family_1,20,dca,97,,57,57,53,2184,18,,77.05357142857142,0.0,74.62825278810409,74.62825278810409,76.0,192868.75,192868.75,30.175572628038935,-19.946428571428584,,17.628252788104092,17.628252788104092,23.0,190684.75,190684.75,12.175572628038935
service_family_1,20,pr,96,3,56,59,56,2320,64,,75.84821428571429,0.0,73.69888475836431,73.69888475836431,75.5,189750.0,189750.0,4482.009635626979,-20.151785714285708,-3.0,17.698884758364315,14.698884758364315,19.5,187430.0,187430.0,4418.009635626979
service_family_1,20,fr,98,35,43,78,66,3681,1380,,76.47321428571429,19.702602230483272,72.21189591078067,91.91449814126393,92.25,239912.5,205737.5,12936.737101464008,-21.526785714285708,-15.297397769516728,29.21189591078067,13.914498141263934,26.25,236231.5,202056.5,11556.737101464008
service_family_1,30,dca,90,,70,70,62,3570,19,,64.76190476190476,0.0,95.817843866171,95.817843866171,96.125,242387.5,242387.5,33.770059454021975,-25.23809523809524,,25.817843866171003,25.817843866171003,34.125,238817.5,238817.5,14.770059454021975
service_family_1,30,pr,90,1,70,71,63,3659,84,,64.25595238095238,0.0,94.6096654275093,94.6096654275093,95.125,238606.25,238606.25,6435.62134824699,-25.74404761904762,-1.0,24.6096654275093,23.6096654275093,32.125,234947.25,234947.25,6351.62134824699
service_family_1,30,fr,97,25,59,83,73,5191,1975,,64.25595238095238,3.159851301115242,96.56133828996282,99.72118959107807,99.75,252418.75,247543.75,15205.851106504037,-32.74404761904762,-21.840148698884757,37.56133828996282,16.721189591078073,26.75,247227.75,242352.75,13230.851106504037
service_family_1,40,dca,83,,77,77,69,4667,19,,50.379464285714285,0.0,100.0,100.0,100.0,252793.75,252793.75,34.208714642969426,-32.620535714285715,,23.0,23.0,31.0,248126.75,248126.75,15.208714642969426
service_family_1,40,pr,855,1,78,79,71,4875,89,Table 5 prints 855; retained literally. Table 6 standard-water row prints 85.,50.29017857142858,0.0,98.60594795539033,98.60594795539033,98.75,248262.5,248262.5,6963.239420594997,-804.7098214285714,-1.0,20.605947955390334,19.605947955390334,27.75,243387.5,243387.5,6874.239420594997
service_family_1,40,fr,92,13,73,86,78,6112,2555,,52.12053571428571,0.0,100.0,100.0,100.0,252793.75,252793.75,15195.776236442965,-39.87946428571429,-13.0,27.0,14.0,22.0,246681.75,246681.75,12640.776236442965
service_family_2,10,dca,99,,56,56,53,2054,20,,81.29464285714285,0.0,74.1635687732342,74.1635687732342,76.25,196512.5,196512.5,32.80749218398705,-17.705357142857153,,18.163568773234203,18.163568773234203,23.25,194458.5,194458.5,12.807492183987051
service_family_2,10,pr,98,9,52,61,56,2572,78,,83.03571428571429,0.0,73.7918215613383,73.7918215613383,76.125,194206.25,194206.25,4599.55956722697,-14.964285714285708,-9.0,21.791821561338296,12.791821561338296,20.125,191634.25,191634.25,4521.55956722697
service_family_2,10,fr,100,46,38,84,72,4211,2240,,72.93666294642858,19.24082249070632,74.25650557620818,93.49732806691449,94.75,242670.703125,209178.90625,18839.64260109095,-27.063337053571416,-26.75917750929368,36.256505576208184,9.497328066914491,22.75,238459.703125,204967.90625,16599.64260109095
service_family_2,20,dca,93,,81,81,72,5034,22,,54.75446428571429,0.0,100.0,100.0,100.0,252793.75,252793.75,35.78075382701354,-38.24553571428571,,19.0,19.0,28.0,247759.75,247759.75,13.780753827013541
service_family_2,20,pr,93,6,76,83,75,5492,128,,64.97767857142858,0.0,99.90706319702602,99.90706319702602,99.875,252668.75,252668.75,6562.021899873973,-28.022321428571416,-6.0,23.90706319702602,16.90706319702602,24.875,247176.75,247176.75,6434.021899873973
