demand_id,volume,origin,destination,reservation_time,availability_time,due_time,category,fare_per_teu
K0001,1.0,B,A,0,3,12,R,100.0
K0002,1.0,A,B,0,2,10,F,125.0
K0003,2.0,B,C,0,3,12,P,100.0
K0004,1.0,B,E,0,4,14,P,375.0
K0005,2.0,B,D,0,4,15,R,200.0
K0006,1.0,A,D,0,3,15,F,375.0
K0007,1.0,B,A,0,3,13,R,100.0
K0008,1.0,C,A,0,2,11,F,312.5
K0009,2.0,D,A,0,3,13,R,468.75
K0010,2.0,C,A,0,3,13,F,200.0
K0011,2.0,D,B,1,3,14,R,250.0
K0012,1.0,E,D,1,2,11,R,125.0
K0013,1.0,D,B,1,3,14,P,250.0
K0014,1.0,E,A,1,6,17,R,500.0
K0015,2.0,A,C,1,4,14,F,200.0
K0016,2.0,E,A,1,6,19,P,400.0
K0017,1.0,B,D,1,3,12,R,312.5
K0018,1.0,B,E,1,5,17,R,300.0
K0019,2.0,A,C,1,5,16,R,200.0
K0020,2.0,A,E,1,7,18,P,500.0
K0021,1.0,D,A,2,6,18,P,300.0
K0022,1.0,E,D,2,5,15,R,100.0
K0023,2.0,A,B,2,4,14,R,100.0
K0024,1.0,B,D,2,5,15,R,200.0
K0025,2.0,B,E,2,7,18,F,300.0
K0026,1.0,A,E,2,8,20,R,400.0
K0027,1.0,D,A,2,5,15,F,468.75
K0028,2.0,C,D,2,5,15,F,100.0
K0029,1.0,E,A,2,8,20,R,400.0
K0030,1.0,E,D,2,3,12,P,125.0
K0031,1.0,D,C,3,5,15,P,100.0
K0032,1.0,C,D,3,6,14,F,125.0
K0033,2.0,A,B,3,4,13,R,125.0
K0034,2.0,B,E,3,6,17,R,375.0
K0035,1.0,C,D,3,4,12,F,156.25
K0036,2.0,C,D,3,5,15,R,100.0
K0037,1.0,E,C,3,7,18,F,200.0
K0038,1.0,D,A,3,8,18,F,375.0
K0039,2.0,B,E,3,6,17,F,375.0
K0040,1.0,C,D,3,6,15,R,100.0
K0041,1.0,C,E,4,7,18,R,200.0
K0042,1.0,D,A,4,8,20,P,300.0
K0043,1.0,E,A,4,8,21,F,500.0
K0044,2.0,B,D,4,8,17,P,250.0
K0045,1.0,D,B,4,6,15,P,312.5
K0046,1.0,B,E,4,9,19,R,375.0
K0047,1.0,C,E,4,7,18,R,200.0
K0048,1.0,C,E,4,6,15,F,312.5
K0049,1.0,C,E,4,6,15,R,312.5
K0050,2.0,C,B,4,5,13,F,156.25
K0051,1.0,A,C,5,9,19,R,200.0
K0052,1.0,D,B,5,8,17,R,250.0
K0053,1.0,D,E,5,8,18,F,100.0
K0054,1.0,D,A,5,9,20,R,300.0
K0055,2.0,D,E,5,6,16,F,125.0
K0056,1.0,A,B,5,7,16,R,100.0
K0057,1.0,E,D,5,7,17,P,100.0
K0058,1.0,D,A,5,10,22,R,300.0
K0059,1.0,B,D,5,7,17,R,250.0
K0060,1.0,A,C,5,9,19,R,200.0
K0061,1.0,A,B,6,9,18,F,100.0
K0062,1.0,E,A,6,11,23,F,400.0
K0063,1.0,D,A,6,11,21,F,375.0
K0064,1.0,D,E,6,8,16,P,125.0
K0065,1.0,A,B,6,7,16,R,125.0
K0066,2.0,A,E,6,12,23,P,500.0
K0067,2.0,E,D,6,7,16,P,125.0
K0068,2.0,A,B,6,8,16,R,125.0
K0069,1.0,E,C,6,10,20,R,200.0
K0070,2.0,C,D,6,8,16,R,125.0
K0071,1.0,D,C,7,10,18,F,125.0
K0072,1.0,E,B,7,11,22,R,300.0
K0073,1.0,D,A,7,10,20,R,468.75
K0074,1.0,C,D,7,8,17,F,125.0
K0075,1.0,E,A,7,11,24,P,500.0
K0076,1.0,D,A,7,11,21,F,375.0
K0077,1.0,B,E,7,10,22,P,375.0
K0078,2.0,E,A,7,12,23,F,500.0
K0079,2.0,A,B,7,8,16,P,156.25
K0080,1.0,A,C,7,9,19,R,250.0
K0081,1.0,A,D,8,12,23,R,300.0
K0082,1.0,C,D,8,9,17,F,156.25
K0083,1.0,D,A,8,13,23,F,375.0
K0084,2.0,B,E,8,12,23,P,300.0
K0085,2.0,B,E,8,11,22,R,375.0
K0086,1.0,E,D,8,11,20,R,100.0
K0087,1.0,E,C,8,10,20,R,250.0
K0088,2.0,E,A,8,14,25,R,500.0
K0089,2.0,E,D,8,11,19,R,125.0
K0090,1.0,A,C,8,10,21,P,250.0
K0091,1.0,C,D,9,11,20,F,100.0
K0092,1.0,E,D,9,10,20,R,125.0
K0093,2.0,C,B,9,12,20,F,125.0
K0094,1.0,C,E,9,11,21,P,250.0
K0095,1.0,D,E,9,10,19,R,125.0
K0096,2.0,B,D,9,12,21,F,250.0
K0097,2.0,E,B,9,14,25,F,300.0
K0098,2.0,E,C,9,11,20,P,312.5
K0099,2.0,B,E,9,14,26,P,300.0
K0100,2.0,B,C,9,12,21,F,100.0
K0101,1.0,B,C,10,12,21,P,100.0
K0102,1.0,A,B,10,13,22,F,100.0
K0103,2.0,A,D,10,14,25,P,300.0
K0104,1.0,B,D,10,12,21,P,312.5
