service_family,capacity_teu,water_factor,controlled_afr_change_from_water1_pp,controlled_nfr_change_from_water1_pp,controlled_vtr_change_from_water1_pp,controlled_vfb_change_from_water1_pp,controlled_vob_change_from_water1_pp,controlled_accepted_volume_change_teu,controlled_truck_volume_change_teu,paper_afr_change_from_water1_pp,paper_nfr_change_from_water1_pp,paper_vt_change_from_water1_pp,paper_vfb_change_from_water1_pp,paper_vob_change_from_water1_pp
service_family_1,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_family_1,10,0.9,0.7738095238095326,-7.589285714285708,4.275092936802974,-5.297397769516728,-1.0223048327137505,-11.0,46.0,1.0,-9.0,5.0,-4.0,0.0
service_family_1,10,0.8,2.187500000000014,-14.821428571428555,8.45724907063197,-10.223048327137544,-1.7657992565055736,-19.0,91.0,2.0,-18.0,9.0,-9.0,0.0
service_family_1,10,0.7,2.857142857142861,-22.857142857142847,12.825278810408921,-14.312267657992564,-1.486988847583639,-16.0,138.0,1.0,-29.0,14.0,-13.0,1.0
service_family_1,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_family_1,20,0.9,2.4255952380952266,-5.401785714285708,4.739776951672862,-5.669144981412643,-0.9293680297397771,-10.0,51.0,1.0,-9.0,6.0,-7.0,0.0
service_family_1,20,0.8,4.174107142857139,-11.830357142857139,11.338289962825279,-13.197026022304833,-1.8587360594795541,-20.0,122.0,2.0,-17.0,13.0,-13.0,0.0
service_family_1,20,0.7,6.103316326530617,-18.48214285714286,17.936802973977695,-20.16728624535316,-2.230483271375462,-24.0,193.0,2.0,-27.0,19.0,-19.0,0.0
service_family_1,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_family_1,30,0.9,3.8988095238095184,-2.9166666666666643,1.579925650557621,-3.2527881040892197,-1.6728624535316072,-18.0,17.0,4.0,-6.0,6.0,-8.0,-2.0
service_family_1,30,0.8,9.21875,-5.476190476190482,7.063197026022305,-8.921933085501863,-1.8587360594795541,-20.0,76.0,6.0,-14.0,14.0,-16.0,-2.0
service_family_1,30,0.7,12.019557823129247,-10.86309523809524,14.962825278810408,-17.936802973977706,-2.9739776951672923,-32.0,161.0,6.0,-23.0,21.0,-23.0,-2.0
service_family_1,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_family_1,40,0.9,6.108630952380949,0.46875,0.0,0.27881040892192743,0.27881040892192743,3.0,0.0,4.0,-77.0,6.0,-7.0,-1.0
service_family_1,40,0.8,13.158482142857132,0.46875,0.6505576208178439,-0.6505576208178496,0.0,0.0,7.0,8.0,-10.0,12.0,-14.0,-2.0
service_family_1,40,0.7,17.120535714285715,-3.1026785714285765,5.111524163568773,-5.483271375464682,-0.371747211895908,-4.0,55.0,10.0,-18.0,21.0,-24.0,-2.0
service_family_2,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_family_2,10,0.9,-0.1488095238095326,-8.437500000000014,4.83271375464684,-6.6914498141264005,-1.8587360594795541,-20.0,52.0,1.0,-8.0,1.0,-4.0,-3.0
service_family_2,10,0.8,0.279017857142847,-16.38392857142857,10.315985130111525,-13.754646840148702,-3.438661710037181,-37.0,111.0,2.0,-18.0,6.0,-10.0,-4.0
service_family_2,10,0.7,1.2117346938775455,-24.062500000000007,17.193308550185872,-21.375464684014872,-4.182156133828997,-45.0,185.0,1.0,-29.0,11.0,-14.0,-3.0
service_family_2,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_family_2,20,0.9,5.483630952380935,-1.562500000000007,0.0,-0.09293680297398055,-0.09293680297398055,-1.0,0.0,3.0,-6.0,3.0,-4.0,-2.0
service_family_2,20,0.8,10.357142857142847,-4.709821428571445,1.3940520446096654,-1.7657992565055736,-0.371747211895908,-4.0,15.0,6.0,-14.0,8.0,-12.0,-4.0
service_family_2,20,0.7,12.445790816326507,-10.781250000000014,5.669144981412639,-6.877323420074347,-1.2081784386617045,-13.0,61.0,6.0,-24.0,18.0,-21.0,-4.0
service_family_2,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_family_2,30,0.9,2.12466931216931,-2.455357142857146,0.0,0.0,0.0,0.0,0.0,7.0,-2.0,3.0,-4.0,-1.0
service_family_2,30,0.8,10.695684523809526,-0.1785714285714306,0.0,0.0,0.0,0.0,0.0,10.0,-9.0,11.0,-13.0,-2.0
service_family_2,30,0.7,17.655187074829925,-0.7440476190476275,0.0,0.0,0.0,0.0,0.0,13.0,-16.0,18.0,-21.0,-3.0
service_family_2,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_family_2,40,0.9,3.5379464285714235,0.1339285714285694,0.0,0.0,0.0,0.0,0.0,7.0,-2.0,1.0,-2.0,-1.0
service_family_2,40,0.8,9.494977678571423,1.4955357142857082,0.0,0.0,0.0,0.0,0.0,12.0,-5.0,6.0,-8.0,-2.0
service_family_2,40,0.7,15.272640306122447,1.5401785714285694,0.0,0.0,0.0,0.0,0.0,17.0,-10.0,15.0,-18.0,-3.0
