policy_key,policy_label,sequence_number,event_id,decision_time,demand_id,category,requested_volume,event_status,solve_status,acceptance_fraction,accepted_volume,current_realised_revenue,optimisation_objective,future_expected_revenue,forecast_count,protected_forecast_count,selected_protection_volume,forecast_ids,protected_forecast_ids
dca,Sequential DCA,1,booking::0001::K0001,0,K0001,P,1,solved,optimal,1,1,27.92,27.92,0,0,0,0,,
dca,Sequential DCA,2,booking::0002::K0003,0,K0003,P,6,solved,optimal,1,6,144.18,144.18,0,0,0,0,,
dca,Sequential DCA,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,
dca,Sequential DCA,4,booking::0004::K0005,0,K0005,P,8,solved,optimal,0.375,3,89.07,89.07,0,0,0,0,,
dca,Sequential DCA,5,booking::0005::K0006,0,K0006,P,5,solved,optimal,1,5,109.75,109.75,0,0,0,0,,
dca,Sequential DCA,6,booking::0006::K0007,0,K0007,R,3,solved,optimal,1,3,140.91,140.91,0,0,0,0,,
dca,Sequential DCA,7,booking::0007::K0009,0,K0009,R,3,solved,optimal,1,3,126.15,126.15,0,0,0,0,,
dca,Sequential DCA,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,67.84,0,0,0,0,,
dca,Sequential DCA,9,booking::0009::K0011,0,K0011,R,2,failed,infeasible,,,,,,0,0,0,,
dca,Sequential DCA,10,booking::0010::K0012,0,K0012,P,4,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,11,booking::0011::K0016,0,K0016,P,2,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,12,booking::0012::K0017,0,K0017,R,6,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,
dca,Sequential DCA,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,1,booking::0001::K0001,0,K0001,P,1,solved,integer optimal solution,1,1,27.92,129.889,101.969,4,4,25,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019
rm_printed_p20,DCA-RM printed p=0.20,2,booking::0002::K0003,0,K0003,P,6,solved,integer optimal solution,1,6,144.18,220.1175,75.9375,4,3,19,K0002;K0007;K0015;K0019,K0002;K0007;K0015
rm_printed_p20,DCA-RM printed p=0.20,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,4,booking::0004::K0005,0,K0005,P,8,solved,integer optimal solution,0.375,3,89.07,159.963,70.893,4,2,16,K0002;K0007;K0015;K0019,K0002;K0007
