policy_key,policy_label,mechanism,sequence_number,event_id,decision_time,demand_id,category,requested_volume,event_status,solve_status,acceptance_fraction,accepted_volume,current_realised_revenue,optimisation_objective,future_expected_revenue,forecast_count,protected_forecast_count,selected_protection_volume,forecast_ids,protected_forecast_ids,rerouted_prior_demand_ids,released_arc_ids
dca,Sequential DCA,DCA,1,booking::0001::K0001,0,K0001,P,1,solved,optimal,1,1,27.92,27.92,0,0,0,0,,,,
dca,Sequential DCA,DCA,2,booking::0002::K0003,0,K0003,P,6,solved,optimal,1,6,144.18,144.18,0,0,0,0,,,,
dca,Sequential DCA,DCA,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,,,
dca,Sequential DCA,DCA,4,booking::0004::K0005,0,K0005,P,8,solved,optimal,0.375,3,89.07,89.07,0,0,0,0,,,,
dca,Sequential DCA,DCA,5,booking::0005::K0006,0,K0006,P,5,solved,optimal,1,5,109.75,109.75,0,0,0,0,,,,
dca,Sequential DCA,DCA,6,booking::0006::K0007,0,K0007,R,3,solved,optimal,1,3,140.91,140.91,0,0,0,0,,,,
dca,Sequential DCA,DCA,7,booking::0007::K0009,0,K0009,R,3,solved,optimal,1,3,126.15,126.15,0,0,0,0,,,,
dca,Sequential DCA,DCA,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,67.84,0,0,0,0,,,,
dca,Sequential DCA,DCA,9,booking::0009::K0011,0,K0011,R,2,failed,infeasible,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,10,booking::0010::K0012,0,K0012,P,4,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,11,booking::0011::K0016,0,K0016,P,2,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,12,booking::0012::K0017,0,K0017,R,6,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,,,
dca,Sequential DCA,DCA,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,,,
dca_r,DCA-R / Full-Reroute,DCA-R,1,booking::0001::K0001,0,K0001,P,1,solved,optimal,1,1,27.92,27.92,0,0,0,0,,,,
dca_r,DCA-R / Full-Reroute,DCA-R,2,booking::0002::K0003,0,K0003,P,6,solved,optimal,1,6,144.18,144.18,0,0,0,0,,,K0001,transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,,K0001;K0003,transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,4,booking::0004::K0005,0,K0005,P,8,solved,optimal,0.375,3,89.07,89.07,0,0,0,0,,,K0001;K0003;K0004,transport::0::S1;transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,5,booking::0005::K0006,0,K0006,P,5,solved,optimal,1,5,109.75,109.75,0,0,0,0,,,K0001;K0003;K0004;K0005,transport::0::S1;transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,6,booking::0006::K0007,0,K0007,R,3,solved,optimal,1,3,140.91,140.91,0,0,0,0,,,K0001;K0003;K0004;K0005;K0006,transport::0::S1;transport::1::S2;transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,7,booking::0007::K0009,0,K0009,R,3,solved,optimal,1,3,126.15,126.15,0,0,0,0,,,K0001;K0003;K0004;K0005;K0006;K0007,transport::0::S1;transport::1::S2;transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,67.84,0,0,0,0,,,K0001;K0003;K0004;K0005;K0006;K0007;K0009,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,9,booking::0009::K0011,0,K0011,R,2,solved,optimal,1,2,67.42,67.42,0,0,0,0,,,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010;K0011,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,11,booking::0011::K0016,0,K0016,P,2,solved,optimal,1,2,45.4,45.4,0,0,0,0,,,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010;K0011;K0012,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,12,booking::0012::K0017,0,K0017,R,6,failed,infeasible,,,,,,0,0,0,,,,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
dca_r,DCA-R / Full-Reroute,DCA-R,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,,,
dca_r,DCA-R / Full-Reroute,DCA-R,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,,,
dca_r,DCA-R / Full-Reroute,DCA-R,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,,,
dca_r,DCA-R / Full-Reroute,DCA-R,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,,,
dca_r,DCA-R / Full-Reroute,DCA-R,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,,,
dca_r,DCA-R / Full-Reroute,DCA-R,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,,,
dca_r,DCA-R / Full-Reroute,DCA-R,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,,,
dca_r,DCA-R / Full-Reroute,DCA-R,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,1,booking::0001::K0001,0,K0001,P,1,solved,integer optimal solution,1,1,27.92,129.889,101.969,4,4,25,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,2,booking::0002::K0003,0,K0003,P,6,solved,integer optimal solution,1,6,144.18,220.1175,75.9375,4,3,19,K0002;K0007;K0015;K0019,K0002;K0007;K0015,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,4,booking::0004::K0005,0,K0005,P,8,solved,integer optimal solution,0.375,3,89.07,159.963,70.893,4,2,16,K0002;K0007;K0015;K0019,K0002;K0007,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,5,booking::0005::K0006,0,K0006,P,5,solved,integer optimal solution,1,5,109.75,176.4355,66.6855,4,3,15,K0002;K0007;K0010;K0017,K0002;K0007;K0017,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,6,booking::0006::K0007,0,K0007,R,3,solved,integer optimal solution,1,3,140.91,205.509,64.599,11,2,12,K0002;K0008;K0009;K0010;K0013;K0014;K0015;K0017;K0018;K0019;K0020,K0017;K0018,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,7,booking::0007::K0009,0,K0009,R,3,solved,integer optimal solution,1,3,126.15,156.1565,30.0065,6,2,9,K0002;K0008;K0013;K0014;K0018;K0020,K0002;K0018,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,90.1,22.26,2,1,7,K0002;K0017,K0002,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,9,booking::0009::K0011,0,K0011,R,2,solved,integer optimal solution,1,2,67.42,79.345,11.925,2,1,5,K0002;K0017,K0002,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,11,booking::0011::K0016,0,K0016,P,2,solved,integer optimal solution,1,2,45.4,60.15625,14.75625,4,1,5,K0002;K0014;K0015;K0019,K0014,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,12,booking::0012::K0017,0,K0017,R,6,failed,integer infeasible,,,,,,1,0,0,K0002,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,,,
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,1,booking::0001::K0001,0,K0001,P,1,solved,integer optimal solution,1,1,27.92,129.889,101.969,4,4,25,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019,,
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,2,booking::0002::K0003,0,K0003,P,6,solved,integer optimal solution,1,6,144.18,220.1175,75.9375,4,3,19,K0002;K0007;K0015;K0019,K0002;K0007;K0015,K0001,transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,,K0001;K0003,transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,4,booking::0004::K0005,0,K0005,P,8,solved,integer optimal solution,0.375,3,89.07,159.963,70.893,4,2,16,K0002;K0007;K0015;K0019,K0002;K0007,K0001;K0003;K0004,transport::0::S1;transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,5,booking::0005::K0006,0,K0006,P,5,solved,integer optimal solution,1,5,109.75,176.4355,66.6855,4,3,15,K0002;K0007;K0010;K0017,K0002;K0007;K0017,K0001;K0003;K0004;K0005,transport::0::S1;transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,6,booking::0006::K0007,0,K0007,R,3,solved,integer optimal solution,1,3,140.91,205.509,64.599,11,2,12,K0002;K0008;K0009;K0010;K0013;K0014;K0015;K0017;K0018;K0019;K0020,K0017;K0018,K0001;K0003;K0004;K0005;K0006,transport::0::S1;transport::1::S2;transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,7,booking::0007::K0009,0,K0009,R,3,solved,integer optimal solution,1,3,126.15,167.357,41.207,6,2,9,K0002;K0008;K0013;K0014;K0018;K0020,K0002;K0018,K0001;K0003;K0004;K0005;K0006;K0007,transport::0::S1;transport::1::S2;transport::3::S4;transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,90.1,22.26,2,1,7,K0002;K0017,K0002,K0001;K0003;K0004;K0005;K0006;K0007;K0009,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,9,booking::0009::K0011,0,K0011,R,2,solved,integer optimal solution,1,2,67.42,79.345,11.925,2,1,5,K0002;K0017,K0002,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010;K0011,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,11,booking::0011::K0016,0,K0016,P,2,solved,integer optimal solution,1,2,45.4,60.15625,14.75625,4,1,5,K0002;K0014;K0015;K0019,K0014,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010;K0011;K0012,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,12,booking::0012::K0017,0,K0017,R,6,failed,integer infeasible,,,,,,1,0,0,K0002,,,transport::0::S1;transport::1::S2;transport::2::S3;transport::3::S4;transport::4::S5;transport::5::S6
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,,,
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,,,
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,,,
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,,,
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,,,
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,,,
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,,,
rrm_printed_p20,DCA-RRM printed p=0.20,DCA-RRM,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,1,booking::0001::K0001,0,K0001,P,1,solved,integer optimal solution,1,1,27.92,282.8425,254.9225,4,4,25,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,2,booking::0002::K0003,0,K0003,P,6,solved,integer optimal solution,1,6,144.18,334.02375,189.84375,4,3,19,K0002;K0007;K0015;K0019,K0002;K0007;K0015,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,4,booking::0004::K0005,0,K0005,P,8,solved,integer optimal solution,0.375,3,89.07,266.3025,177.2325,4,2,16,K0002;K0007;K0015;K0019,K0002;K0007,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,5,booking::0005::K0006,0,K0006,P,5,solved,integer optimal solution,0.4,2,43.9,287.71,243.81,4,3,18,K0002;K0007;K0010;K0017,K0002;K0007;K0017,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,6,booking::0006::K0007,0,K0007,R,3,solved,integer optimal solution,1,3,140.91,370.13,229.22,11,2,15,K0002;K0008;K0009;K0010;K0013;K0014;K0015;K0017;K0018;K0019;K0020,K0017;K0018,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,7,booking::0007::K0009,0,K0009,R,3,solved,integer optimal solution,1,3,126.15,232.3625,106.2125,6,2,12,K0002;K0008;K0013;K0014;K0018;K0020,K0002;K0018,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,164.81125,96.97125,2,2,10,K0002;K0017,K0002;K0017,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,9,booking::0009::K0011,0,K0011,R,2,solved,integer optimal solution,1,2,67.42,138.97,71.55,2,1,8,K0002;K0017,K0002,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,11,booking::0011::K0016,0,K0016,P,2,solved,integer optimal solution,1,2,45.4,116.95,71.55,4,1,8,K0002;K0014;K0015;K0019,K0002,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,12,booking::0012::K0017,0,K0017,R,6,failed,integer infeasible,,,,,,1,0,0,K0002,,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,,,
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,,,
